city_name,country_name,latitude,longitude,temperature,humidity,cloudiness,wind_speed,retrieved
pascagoula,us,30.37,-88.56,51.75,71,90,4.7,03/16/2019
mogzon,ru,51.74,111.97,25.66,70,0,5.61,03/16/2019
lompoc,us,34.64,-120.46,48.15,65,1,9.17,03/16/2019
vila franca do campo,pt,37.72,-25.43,62.6,82,40,13.87,03/16/2019
kruisfontein,za,-34,24.73,74.53,73,0,16.02,03/16/2019
hermanus,za,-34.42,19.24,70.66,85,0,4,03/16/2019
takapau,nz,-40.02,176.35,61,92,0,2.59,03/16/2019
batticaloa,lk,7.71,81.69,81.37,100,88,8.41,03/16/2019
vao,nc,-22.67,167.48,78.85,100,64,17.47,03/16/2019
saint-philippe,re,-21.36,55.77,77,61,75,1.12,03/16/2019
shigony,ru,53.39,48.68,28.18,89,92,11.43,03/16/2019
pevek,ru,69.7,170.27,-23.12,67,8,7.29,03/16/2019
punta arenas,cl,-53.16,-70.91,50.59,93,90,5.82,03/16/2019
anzio,it,41.45,12.63,59.76,67,40,5.82,03/16/2019
cairns,au,-16.92,145.77,76.42,88,40,6.93,03/16/2019
eyl,so,7.98,49.82,79.75,86,0,13.22,03/16/2019
luwuk,id,-0.95,122.79,79.21,94,20,4.72,03/16/2019
arraial do cabo,br,-22.97,-42.02,85.08,74,20,5.82,03/16/2019
moron,mn,47.38,110.32,24.31,54,0,5.61,03/16/2019
qaanaaq,gl,77.48,-69.36,-19.25,100,24,4.27,03/16/2019
yerbogachen,ru,61.28,108.01,17.56,56,32,8.97,03/16/2019
kangalassy,ru,62.35,129.97,-16.61,75,0,4.47,03/16/2019
buraydah,sa,26.33,43.97,82.4,20,40,18.34,03/16/2019
maldonado,uy,-34.91,-54.96,71.6,88,90,9.17,03/16/2019
sattenapalle,in,16.39,80.15,78.4,69,0,6.17,03/16/2019
jizan,sa,16.89,42.56,86,62,0,11.41,03/16/2019
norman wells,ca,65.28,-126.83,-5.81,83,20,3.36,03/16/2019
siva,ru,56.42,50.83,25.3,90,88,8.08,03/16/2019
jamestown,sh,-15.94,-5.72,76.51,100,64,13.22,03/16/2019
torbay,ca,47.66,-52.73,41.67,86,90,29.97,03/16/2019
kapaa,us,22.08,-159.32,63.28,82,75,8.05,03/16/2019
vila velha,br,-3.71,-38.6,78.91,88,75,8.05,03/16/2019
saint-pierre,pm,46.77,-56.17,37.17,100,75,31.09,03/16/2019
marsa matruh,eg,31.35,27.25,62.6,51,40,16.11,03/16/2019
tokonou,gn,9.65,-9.78,100.63,24,8,4.16,03/16/2019
jardim,br,-21.48,-56.15,83.53,87,64,8.75,03/16/2019
kurunegala,lk,7.49,80.36,84.2,70,40,3.36,03/16/2019
margate,za,-30.86,30.37,78.31,86,56,16.35,03/16/2019
namatanai,pg,-3.66,152.44,79.84,100,88,9.98,03/16/2019
nikolskoye,ru,59.7,30.79,36.95,80,75,11.18,03/16/2019
tokat,tr,40.33,36.55,32,98,90,9.17,03/16/2019
ust-nera,ru,64.57,143.24,-30.5,0,0,2.15,03/16/2019
egvekinot,ru,66.32,-179.17,-6.92,70,64,5.39,03/16/2019
viedma,ar,-40.81,-62.99,66.7,94,92,17.02,03/16/2019
kyshtovka,ru,56.56,76.62,21.88,87,68,14.23,03/16/2019
pinega,ru,64.7,43.39,32.95,81,48,7.63,03/16/2019
mahebourg,mu,-20.41,57.7,81.57,74,40,5.82,03/16/2019
koulamoutou,ga,-1.13,12.47,81.01,80,64,3.49,03/16/2019
chuy,uy,-33.69,-53.46,72.28,99,92,18.37,03/16/2019
yellowknife,ca,62.45,-114.38,5,84,20,3.36,03/16/2019
shimoda,jp,34.7,138.93,43.59,61,92,9.75,03/16/2019
amboise,fr,47.41,0.98,57.09,62,75,18.34,03/16/2019
altay,cn,47.83,88.13,21.25,90,92,2.15,03/16/2019
klyuchi,ru,52.25,79.17,24.4,75,76,12.44,03/16/2019
guerrero negro,mx,27.97,-114.04,48.79,67,0,3.38,03/16/2019
svetlaya,ru,46.54,138.33,27.1,100,20,7.52,03/16/2019
camacha,pt,33.08,-16.33,66.2,63,20,11.41,03/16/2019
georgetown,sh,-7.93,-14.42,82.09,99,0,16.58,03/16/2019
lebu,cl,-37.62,-73.65,58.33,86,0,11.65,03/16/2019
ahipara,nz,-35.17,173.16,62.01,100,80,3.71,03/16/2019
nishihara,jp,35.74,139.53,44.78,48,1,1.7,03/16/2019
kaeo,nz,-35.1,173.78,60.91,100,80,3.71,03/16/2019
saskylakh,ru,71.97,114.09,-4.49,66,76,8.97,03/16/2019
sioux lookout,ca,50.1,-91.92,9.64,65,20,3.36,03/16/2019
lesnica,rs,44.65,19.31,61.48,45,0,6.93,03/16/2019
san ignacio,mx,20.62,-100.55,52.63,76,90,11.41,03/16/2019
kavieng,pg,-2.57,150.8,82,100,80,6.85,03/16/2019
general salgado,br,-20.65,-50.36,82.81,94,8,4.38,03/16/2019
hithadhoo,mv,-0.6,73.08,79.48,100,92,1.59,03/16/2019
cabo san lucas,mx,22.89,-109.91,64.04,88,90,6.17,03/16/2019
husavik,is,66.04,-17.34,35.6,64,40,9.17,03/16/2019
mar del plata,ar,-46.43,-67.52,71.47,46,0,17.02,03/16/2019
albesti,ro,47.7,27.07,43.02,75,40,13.87,03/16/2019
busselton,au,-33.64,115.35,64.92,44,0,24.18,03/16/2019
chancay,pe,-11.56,-77.27,76.41,73,0,4.7,03/16/2019
kodinsk,ru,58.6,99.18,24.94,82,12,1.36,03/16/2019
port hedland,au,-20.31,118.58,87.8,74,40,6.93,03/16/2019
aykhal,ru,65.95,111.51,13.42,81,68,8.3,03/16/2019
mahibadhoo,mv,3.78,72.97,83.71,100,76,9.42,03/16/2019
parrita,cr,9.52,-84.33,76.01,64,20,24.16,03/16/2019
dunedin,nz,-45.87,170.5,55.99,93,76,2.59,03/16/2019
lorengau,pg,-2.02,147.27,82.54,99,88,9.98,03/16/2019
alice springs,au,-23.7,133.88,73.4,28,56,9.08,03/16/2019
kamenka,ru,53.19,44.05,32,82,92,12.1,03/16/2019
dicabisagan,ph,17.08,122.42,70.84,100,92,3.38,03/16/2019
the valley,ai,18.22,-63.06,81.32,61,20,12.75,03/16/2019
aracoiaba,br,-4.37,-38.81,76.87,92,92,3.71,03/16/2019
castro,cl,-42.48,-73.76,66.2,59,0,2.24,03/16/2019
gao,ml,16.28,-0.04,101.17,15,0,9.19,03/16/2019
saucillo,mx,28.03,-105.29,40.6,50,12,5.39,03/16/2019
velingara,sn,13.64,-16.01,104,8,0,4.7,03/16/2019
tromso,no,69.65,18.96,29.01,79,40,12.75,03/16/2019
yar-sale,ru,66.83,70.83,-3.32,63,12,7.07,03/16/2019
cherskiy,ru,68.75,161.3,-27.71,43,12,2.26,03/16/2019
snasa,no,64.25,12.38,30.97,74,48,2.93,03/16/2019
otane,nz,-39.89,176.62,61,92,100,1.14,03/16/2019
naze,jp,28.37,129.48,63.01,100,64,9.75,03/16/2019
narsaq,gl,60.91,-46.05,24.8,49,75,2.24,03/16/2019
tevriz,ru,57.51,72.4,22.87,77,80,7.96,03/16/2019
sar-e pul,af,36.22,65.93,47.08,70,92,4.94,03/16/2019
ancud,cl,-41.87,-73.83,66.2,59,0,2.24,03/16/2019
ilulissat,gl,69.22,-51.1,5,60,75,16.11,03/16/2019
port lincoln,au,-34.72,135.86,64.81,94,0,10.98,03/16/2019
east london,za,-33.02,27.91,78.8,83,75,14.99,03/16/2019
tual,id,-5.67,132.75,84.97,95,36,10.2,03/16/2019
ondangwa,na,-17.91,15.98,100.4,15,0,6.93,03/16/2019
butaritari,ki,3.07,172.79,82.54,100,80,8.19,03/16/2019
leh,in,34.16,77.58,-5.57,75,48,1.48,03/16/2019
tuatapere,nz,-46.13,167.69,54,84,8,5.73,03/16/2019
upernavik,gl,72.79,-56.15,-11.06,100,12,10.2,03/16/2019
segou,ml,13.43,-6.22,101.8,21,0,9.98,03/16/2019
boa vista,br,2.82,-60.67,89.6,46,75,18.34,03/16/2019
bandarbeyla,so,9.49,50.81,78.31,100,8,9.86,03/16/2019
walvis bay,na,-22.95,14.51,70.66,53,0,11.41,03/16/2019
coquimbo,cl,-29.95,-71.34,60.8,82,90,5.82,03/16/2019
bereznik,ru,62.86,42.71,29.62,81,64,8.3,03/16/2019
tallahassee,us,30.44,-84.28,56.75,58,90,3.36,03/16/2019
iqaluit,ca,63.75,-68.52,6.33,71,90,17.22,03/16/2019
saldanha,za,-33.01,17.94,73.4,60,0,6.93,03/16/2019
ambon,id,-3.7,128.18,84.2,59,20,8.08,03/16/2019
vostok,ru,46.45,135.83,6.85,66,0,2.04,03/16/2019
anadyr,ru,64.73,177.51,-9.19,76,40,11.18,03/16/2019
kavaratti,in,10.57,72.64,83.08,100,0,10.42,03/16/2019
cockburn town,tc,21.46,-71.14,77.59,98,8,19.26,03/16/2019
victoria,sc,-4.62,55.45,84.2,74,40,4.7,03/16/2019
tabou,ci,4.42,-7.36,83.62,98,36,9.64,03/16/2019
borzya,ru,50.39,116.53,17.2,54,0,7.18,03/16/2019
pisco,pe,-13.71,-76.2,71.6,30,0,8.05,03/16/2019
majene,id,-3.54,118.97,82.45,94,64,20.27,03/16/2019
kloulklubed,pw,7.04,134.26,77,94,75,18.25,03/16/2019
conway,us,33.84,-79.05,58.33,43,1,6.93,03/16/2019
tuktoyaktuk,ca,69.44,-133.03,-11.21,83,20,3.36,03/16/2019
isangel,vu,-19.55,169.27,80.65,100,64,14.9,03/16/2019
clyde river,ca,70.47,-68.59,-23.81,74,75,2.24,03/16/2019
puerto baquerizo moreno,ec,-0.9,-89.6,80.6,78,0,4.7,03/16/2019
isla mujeres,mx,21.23,-86.73,82.18,65,20,9.17,03/16/2019
amanganj,in,24.43,80.04,67.69,44,0,6.4,03/16/2019
letenye,hu,46.43,16.73,55.31,66,0,2.24,03/16/2019
ossora,ru,59.24,163.07,-12.05,95,0,0.92,03/16/2019
dakar,sn,14.69,-17.45,84.76,61,0,6.93,03/16/2019
fuerte olimpo,py,-21.04,-57.87,88.3,81,36,11.1,03/16/2019
qasigiannguit,gl,68.82,-51.19,5,60,75,16.11,03/16/2019
daru,pg,-9.07,143.21,78.58,100,92,11.65,03/16/2019
nome,us,30.04,-94.42,53.89,60,75,10.29,03/16/2019
chuncheng,cn,22.17,111.79,64.36,81,92,2.59,03/16/2019
katsuura,jp,33.93,134.5,43.61,75,20,3.36,03/16/2019
pangnirtung,ca,66.15,-65.72,1.4,54,75,10.29,03/16/2019
solomenskoye,ru,44.22,44.35,50.05,72,64,3.04,03/16/2019
samarai,pg,-10.62,150.67,76.69,100,92,7.18,03/16/2019
teya,ru,60.37,92.63,30.43,88,92,1.36,03/16/2019
aksu,cn,41.12,80.26,34.48,49,0,4.27,03/16/2019
greece,us,43.21,-77.69,34.02,47,90,12.75,03/16/2019
jutai,br,-1.71,-47.89,84.25,78,64,4.05,03/16/2019
sur,om,22.57,59.53,73,90,0,14.56,03/16/2019
puerto colombia,co,10.99,-74.96,87.35,58,0,8.05,03/16/2019
khoy,ir,38.55,44.95,45.55,51,76,4.16,03/16/2019
turukhansk,ru,65.8,87.96,0.91,51,0,10.98,03/16/2019
macklin,ca,52.34,-109.94,12.97,61,0,3.94,03/16/2019
hohhot,cn,40.81,111.65,33.8,40,0,6.71,03/16/2019
staunton,us,38.15,-79.07,44.92,38,1,10.09,03/16/2019
ryotsu,jp,38.08,138.43,41.23,100,8,12.21,03/16/2019
flin flon,ca,54.77,-101.88,15.8,72,75,2.24,03/16/2019
poum,nc,-20.23,164.02,80.47,100,24,6.4,03/16/2019
kalmunai,lk,7.42,81.82,78.67,90,80,3.94,03/16/2019
lastoursville,ga,-0.81,12.73,79.3,80,80,4.27,03/16/2019
lokosovo,ru,61.13,74.84,17.11,78,8,4.38,03/16/2019
smithers,ca,54.78,-127.17,30.2,80,90,3.36,03/16/2019
deputatskiy,ru,69.3,139.9,-31.94,0,0,2.71,03/16/2019
mercedes,ar,-29.18,-58.08,77.41,77,92,8.3,03/16/2019
kudahuvadhoo,mv,2.67,72.89,80.65,100,24,7.4,03/16/2019
port blair,in,11.67,92.75,83.98,96,0,10.42,03/16/2019
praia da vitoria,pt,38.73,-27.07,66.43,64,20,12.44,03/16/2019
cidreira,br,-30.17,-50.22,79.57,80,24,11.65,03/16/2019
shingu,jp,33.72,135.99,48.88,100,0,10.09,03/16/2019
lumeje,ao,-11.56,20.78,77.05,91,12,4.5,03/16/2019
bago,mm,17.34,96.48,82.4,69,0,5.82,03/16/2019
fortuna,us,40.6,-124.16,39.96,100,90,4.7,03/16/2019
umea,se,63.83,20.26,33.8,100,90,4.7,03/16/2019
ocos,gt,14.51,-92.19,84.27,74,20,0.92,03/16/2019
marondera,zw,-18.19,31.55,67.33,94,76,5.39,03/16/2019
kidal,ml,18.44,1.41,97.3,18,0,7.96,03/16/2019
bambous virieux,mu,-20.34,57.76,81.59,74,40,5.82,03/16/2019
geraldton,au,-28.77,114.6,71.6,78,90,17.22,03/16/2019
cayenne,gf,4.94,-52.33,86,58,88,12.75,03/16/2019
kahama,tz,-3.83,32.6,88.93,32,12,6.96,03/16/2019
port elizabeth,za,-33.92,25.57,75.2,83,0,20.8,03/16/2019
provideniya,ru,64.42,-173.23,17.65,100,64,25.86,03/16/2019
kango,ga,0.19,10.1,79.3,87,80,4.27,03/16/2019
canora,ca,51.64,-102.43,21.2,85,1,6.93,03/16/2019
sahagun,co,8.95,-75.44,86,66,40,4.5,03/16/2019
kresttsy,ru,58.25,32.52,35.29,86,92,14.67,03/16/2019
thio,nc,-21.61,166.22,75.2,88,0,1.12,03/16/2019
lavrentiya,ru,65.58,-170.99,10.27,98,32,15.23,03/16/2019
martinsburg,us,39.46,-77.96,44.35,41,1,24.16,03/16/2019
campo grande,br,-20.46,-54.62,82.4,65,75,8.05,03/16/2019
tacuba,sv,13.9,-89.93,83.98,54,0,4.16,03/16/2019
leningradskiy,ru,69.38,178.42,-4.85,81,80,12.21,03/16/2019
antalaha,mg,-14.9,50.28,79.3,91,44,7.85,03/16/2019
kattivakkam,in,13.22,80.32,83.37,70,20,12.75,03/16/2019
sorland,no,67.67,12.69,35.65,100,80,13,03/16/2019
mullovka,ru,54.22,49.39,28.4,68,88,11.18,03/16/2019
berbera,so,10.44,45.01,79.75,63,0,5.61,03/16/2019
sao filipe,cv,14.9,-24.5,75.7,80,0,13.89,03/16/2019
roald,no,62.58,6.12,38.17,55,40,17.22,03/16/2019
hamilton,bm,32.3,-64.78,69.04,72,75,6.93,03/16/2019
nha trang,vn,12.24,109.19,82.4,74,20,9.17,03/16/2019
sept-iles,ca,50.2,-66.38,36.72,100,90,2.24,03/16/2019
tingo maria,pe,-9.29,-76.01,73.4,88,90,2.26,03/16/2019
fairbanks,us,64.84,-147.72,31.46,40,1,9.17,03/16/2019
chattanooga,us,35.05,-85.31,43.39,36,75,14.99,03/16/2019
homer,us,59.64,-151.54,37.89,75,90,12.75,03/16/2019
two rivers,us,44.15,-87.57,30.09,58,20,14.99,03/16/2019
talavera de la reina,es,39.96,-4.83,70.21,27,0,5.61,03/16/2019
basco,ph,20.45,121.97,75.7,100,76,22.5,03/16/2019
wakefield,nz,-41.41,173.04,61.27,92,80,1.81,03/16/2019
maltahohe,na,-24.83,16.98,93.25,18,12,3.6,03/16/2019
charters towers,au,-20.07,146.27,74.35,90,80,5.95,03/16/2019
tortoli,it,39.93,9.66,65.19,87,5,6.93,03/16/2019
morondava,mg,-20.3,44.28,83.26,91,24,5.73,03/16/2019
vanimo,pg,-2.67,141.3,77.77,100,92,13.33,03/16/2019
ribeira grande,pt,38.52,-28.7,64.4,88,40,8.05,03/16/2019
ravar,ir,31.27,56.81,58.6,17,20,2.15,03/16/2019
komsomolskiy,ru,67.55,63.78,3.7,62,8,11.43,03/16/2019
zavodskoy,ru,43.1,44.65,52.11,70,76,11.18,03/16/2019
puerto escondido,mx,15.86,-97.07,80.6,61,5,6.73,03/16/2019
ayagoz,kz,47.96,80.43,28.09,95,48,9.19,03/16/2019
atambua,id,-9.11,124.89,75.79,100,88,4.72,03/16/2019
ledyard,us,41.44,-72.02,48.25,37,20,17.22,03/16/2019
aksarayskiy,ru,46.79,48.01,44.6,53,0,15.66,03/16/2019
kharakvasla,in,18.43,73.77,79.03,30,8,8.3,03/16/2019
voznesenye,ru,61.02,35.48,29.98,79,20,13.78,03/16/2019
ponta do sol,cv,17.2,-25.09,80.6,47,75,24.16,03/16/2019
port augusta,au,-32.49,137.76,65.82,77,0,6.93,03/16/2019
nouadhibou,mr,20.93,-17.03,87.8,22,0,9.17,03/16/2019
ixtapa,mx,20.71,-105.21,72.88,88,75,4.7,03/16/2019
xining,cn,36.62,101.77,30.07,46,88,5.39,03/16/2019
marana,us,32.44,-111.22,57.16,33,1,8.05,03/16/2019
oistins,bb,13.07,-59.53,84.2,66,75,26.4,03/16/2019
yulara,au,-25.24,130.99,84.2,25,88,12.75,03/16/2019
folkestone,gb,51.08,1.18,51.06,76,75,38.03,03/16/2019
rocha,uy,-34.48,-54.34,77.77,69,44,11.32,03/16/2019
nago,jp,26.59,127.98,60.82,76,40,7.96,03/16/2019
harper,lr,4.38,-7.71,84.16,97,36,11.1,03/16/2019
esperance,au,-33.86,121.89,68,88,90,4.7,03/16/2019
huanren,cn,41.26,125.37,31.15,86,68,2.59,03/16/2019
severo-kurilsk,ru,50.68,156.12,24.58,100,48,3.83,03/16/2019
san cristobal,ec,-1.02,-79.44,65.89,98,64,1.14,03/16/2019
bunia,cd,1.56,30.25,74.8,80,8,2.93,03/16/2019
teknaf,bd,20.86,92.31,78.58,56,0,5.28,03/16/2019
batsfjord,no,70.63,29.72,30.2,74,0,6.93,03/16/2019
iwanai,jp,42.97,140.51,33.76,100,88,11.32,03/16/2019
verkhnyaya inta,ru,65.99,60.32,15.31,69,24,5.06,03/16/2019
beringovskiy,ru,63.05,179.32,3.25,90,88,19.04,03/16/2019
sprockhovel,de,51.35,7.25,52.07,76,75,27.51,03/16/2019
alofi,nu,-19.06,-169.92,71.6,100,92,1.12,03/16/2019
bahia honda,cu,22.9,-83.16,82.09,65,0,4.94,03/16/2019
camocim,br,-2.9,-40.84,84.79,90,56,4.38,03/16/2019
riverton,us,43.02,-108.38,25.88,73,1,0.69,03/16/2019
batemans bay,au,-35.71,150.18,60.19,76,92,5.01,03/16/2019
vardo,no,70.37,31.11,30.2,74,0,6.93,03/16/2019
darhan,mn,49.49,105.92,30.25,51,0,3.83,03/16/2019
tessalit,ml,20.2,1.01,94.6,18,0,5.61,03/16/2019
pacific grove,us,36.62,-121.92,44.71,57,1,9.17,03/16/2019
sawtell,au,-30.38,153.1,66.4,88,90,4.72,03/16/2019
tiksi,ru,71.64,128.87,-25.46,38,8,2.37,03/16/2019
yagodnoye,ru,62.52,149.63,-22.94,30,32,2.26,03/16/2019
utiel,es,39.57,-1.21,72.09,56,0,9.17,03/16/2019
tinyahuarco,pe,-10.75,-76.3,50.05,89,44,3.38,03/16/2019
klaksvik,fo,62.23,-6.59,39.2,80,92,9.17,03/16/2019
faanui,pf,-16.48,-151.75,82.81,100,8,2.37,03/16/2019
nador,ma,35.17,-2.93,69.84,56,0,8.05,03/16/2019
abong mbang,cm,3.98,13.18,85.15,55,92,1.81,03/16/2019
ennis,ie,52.84,-8.98,44.6,81,75,21.92,03/16/2019
hailar,cn,49.2,119.7,20.08,48,0,7.74,03/16/2019
tel aviv-yafo,il,32.08,34.78,55.35,77,20,14.99,03/16/2019
newport,us,41.49,-71.31,49.35,49,75,13.87,03/16/2019
gboko,ng,7.32,9,97.3,45,8,4.5,03/16/2019
nongan,cn,44.43,125.17,23,67,0,4.47,03/16/2019
nefteyugansk,ru,61.09,72.61,15.8,92,40,8.95,03/16/2019
aitape,pg,-3.15,142.36,81.01,90,92,13.44,03/16/2019
benton harbor,us,42.12,-86.45,34.18,59,75,13.87,03/16/2019
waddan,ly,29.16,16.14,70.66,33,0,7.07,03/16/2019
maniwaki,ca,46.38,-75.98,25.93,59,80,10.2,03/16/2019
aklavik,ca,68.22,-135.01,-1.11,76,5,3.36,03/16/2019
sitka,us,37.17,-99.65,41,64,12,8.01,03/16/2019
salalah,om,17.01,54.1,78.8,74,40,8.05,03/16/2019
nanortalik,gl,60.14,-45.24,28.54,98,92,12.77,03/16/2019
tiarei,pf,-17.53,-149.33,80.28,78,8,5.82,03/16/2019
zhigansk,ru,66.77,123.37,-8.99,66,44,2.48,03/16/2019
oranjemund,na,-28.55,16.43,65.08,93,36,4.16,03/16/2019
blyth,gb,55.12,-1.5,52.18,76,40,19.46,03/16/2019
zhezkazgan,kz,47.8,67.71,23.23,81,20,11.43,03/16/2019
manakara,mg,-22.14,48.01,80.38,81,0,7.4,03/16/2019
loralai,pk,30.37,68.6,46.09,63,24,2.15,03/16/2019
hasaki,jp,35.73,140.83,38.53,81,40,5.82,03/16/2019
shiraz,ir,29.61,52.54,59.63,36,40,6.93,03/16/2019
ouallam,ne,14.32,2.08,103.06,15,0,12.21,03/16/2019
ozerki,ru,53.63,83.71,23,73,75,13.42,03/16/2019
muli,mv,2.92,73.57,82.27,100,32,6.17,03/16/2019
ostrovnoy,ru,68.05,39.51,28.99,84,8,14.79,03/16/2019
dingle,ie,52.14,-10.27,44.6,87,75,11.41,03/16/2019
rawson,ar,-43.3,-65.11,65.08,100,88,10.65,03/16/2019
coihaique,cl,-45.58,-72.07,64.4,52,0,25.28,03/16/2019
norrtalje,se,59.76,18.7,35.01,84,75,9.17,03/16/2019
farah,af,32.37,62.11,59.05,60,12,5.61,03/16/2019
ayna,pe,-12.72,-73.91,64.4,63,75,4.7,03/16/2019
arona,es,28.1,-16.68,69.06,60,0,11.41,03/16/2019
rio gallegos,ar,-51.62,-69.22,59,77,75,3.36,03/16/2019
araouane,ml,18.9,-3.53,95.77,19,0,4.16,03/16/2019
ranong,th,9.96,98.62,86,62,20,11.41,03/16/2019
smoky lake,ca,54.11,-112.47,26.01,65,0,5.99,03/16/2019
camalu,mx,30.85,-116.07,39,2,0,5.01,03/16/2019
kuryk,kz,43.18,51.68,50.77,73,48,7.07,03/16/2019
san patricio,mx,19.22,-104.7,71.6,78,75,3.27,03/16/2019
natal,br,-5.81,-35.21,86.88,58,40,13.87,03/16/2019
honningsvag,no,70.98,25.97,30.07,97,8,17.81,03/16/2019
usinsk,ru,66,57.56,19.18,81,48,12.77,03/16/2019
te anau,nz,-45.41,167.72,36.1,90,0,2.26,03/16/2019
cabedelo,br,-6.97,-34.84,87.8,58,75,11.41,03/16/2019
lugovoy,ru,59.72,65.88,23.77,78,80,12.1,03/16/2019
praya,id,-8.71,116.27,73.4,94,75,3.36,03/16/2019
vadso,no,70.07,29.75,29.23,74,0,6.93,03/16/2019
talnakh,ru,69.49,88.39,-12.41,39,0,2.59,03/16/2019
srednekolymsk,ru,67.46,153.71,-16.73,48,48,2.37,03/16/2019
pacanga,pe,-7.17,-79.49,66.2,29,0,3.36,03/16/2019
wanxian,cn,30.8,108.39,43.93,82,68,0.58,03/16/2019
san policarpo,ph,12.18,125.51,77.86,95,100,15.01,03/16/2019
broome,au,-17.97,122.23,86,74,0,5.82,03/16/2019
maragogi,br,-9.01,-35.22,85.6,72,0,7.4,03/16/2019
miri,my,4.41,114.01,76.68,94,75,3.36,03/16/2019
tamandare,br,-8.28,-70.75,84.97,79,36,3.71,03/16/2019
cerrito,co,6.84,-72.7,75.2,78,40,3.36,03/16/2019
kununurra,au,-15.77,128.74,80.6,78,68,4.7,03/16/2019
paamiut,gl,61.99,-49.67,28.36,99,80,20.94,03/16/2019
dali,cn,25.6,100.24,56.26,65,0,4.61,03/16/2019
maceio,br,-9.67,-35.74,87.8,48,40,9.17,03/16/2019
bethel,us,60.79,-161.76,21.65,100,90,16.11,03/16/2019
sobolevo,ru,54.43,31.9,38.89,92,88,11.88,03/16/2019
waren,de,53.52,12.68,40.69,86,90,8.05,03/16/2019
catuday,ph,16.29,119.81,77.05,100,56,7.52,03/16/2019
kaseda,jp,31.42,130.32,56.17,100,80,8.19,03/16/2019
gweta,bw,-20.21,25.26,90.91,27,0,15.01,03/16/2019
cibeureum,id,-6.73,106.95,78.51,28,36,2.15,03/16/2019
jacareacanga,br,-6.22,-57.76,89.2,67,24,2.93,03/16/2019
caramay,ph,10.18,119.24,78.85,100,0,11.21,03/16/2019
ladario,br,-19,-57.6,84.13,70,75,8.05,03/16/2019
vangaindrano,mg,-23.35,47.6,78.67,63,0,4.72,03/16/2019
henties bay,na,-22.12,14.28,66,85,0,11.99,03/16/2019
bonham,us,33.58,-96.18,49.51,36,1,10.29,03/16/2019
sisimiut,gl,66.94,-53.67,0.28,71,12,2.37,03/16/2019
ledec,cz,49.97,15.59,42.26,93,75,4.7,03/16/2019
noumea,nc,-22.28,166.46,75.2,88,0,1.12,03/16/2019
