city_name,country_name,latitude,longitude,temperature,humidity,cloudiness,wind_speed
portobelo,pa,9.55,-79.65,82,65,20,2.24
broome,au,-17.97,122.23,86,74,0,6.93
faanui,pf,-16.48,-151.75,82.81,100,8,2.37
fuxin,cn,42.02,121.65,33.67,37,0,6.73
san patricio,mx,19.22,-104.7,73.36,79,44,3.27
sisimiut,gl,66.94,-53.67,0.28,71,12,2.37
aquiraz,br,-3.9,-38.39,77,88,75,4.7
luanda,ao,-8.83,13.24,84.2,79,75,4.7
severo-kurilsk,ru,50.68,156.12,24.58,100,48,3.83
huangchuan,cn,24.57,102.46,66.7,36,0,17.9
castro,cl,-42.48,-73.76,59,77,0,3.36
san vicente,ph,14.11,122.87,79.93,100,48,14
thompson,ca,55.74,-97.86,-0.41,84,75,3.36
kahului,us,20.89,-156.47,64.08,100,90,11.41
provideniya,ru,64.42,-173.23,17.65,100,64,25.86
nalut,ly,31.86,10.98,67.24,55,0,4.27
north vanlaiphai,in,23.13,93.07,63.28,72,0,2.04
tiznit,ma,29.7,-9.73,77.5,57,0,5.06
ixtapa,mx,20.71,-105.21,69.01,100,75,2.71
erice,it,38.04,12.59,60.31,82,75,14.99
freeport,us,42.3,-89.62,29.12,68,1,9.31
kwekwe,zw,-18.93,29.81,65.53,98,92,8.41
pangnirtung,ca,66.15,-65.72,-2.51,71,32,4.94
cidreira,br,-30.17,-50.22,79.57,80,24,11.65
sai buri,th,6.7,101.62,82.4,69,20,6.93
kattivakkam,in,13.22,80.32,84.96,66,20,13.87
nizwa,om,22.93,57.53,71.47,41,20,3.15
bonthe,sl,7.53,-12.5,91.9,53,8,7.85
fort nelson,ca,58.81,-122.69,21.2,67,5,4.7
halifax,ca,44.65,-63.58,41.61,100,90,9.17
kashi,cn,39.45,75.98,57.2,16,8,4.47
vardo,no,70.37,31.11,30.2,80,20,12.75
ambilobe,mg,-13.19,49.05,74.71,100,76,1.25
lavrentiya,ru,65.58,-170.99,10.27,98,32,15.23
concepcion del uruguay,ar,-32.48,-58.24,82,70,68,4
along,in,28.17,94.8,54.28,94,92,1.48
hasaki,jp,35.73,140.83,42.04,70,75,9.17
brae,gb,60.4,-1.35,42.8,75,88,2.24
macusani,pe,-14.07,-70.43,57.97,97,68,2.71
ratnagiri,in,16.98,73.3,79.03,97,0,7.63
challans,fr,46.85,-1.88,53.98,71,90,18.34
omboue,ga,-1.57,9.26,84.97,99,32,4.94
portland,au,-33.35,149.98,58.08,99,92,4
nikolskoye,ru,59.7,30.79,36.18,93,75,13.42
vanimo,pg,-2.67,141.3,77.77,100,92,13.33
fujin,cn,47.24,132.03,24.76,60,68,8.19
chuy,uy,-33.69,-53.46,72.28,99,92,18.37
beira,mz,-19.84,34.84,80.56,89,92,13.67
cherskiy,ru,68.75,161.3,-27.71,43,12,2.26
bruchsal,de,49.12,8.6,54.75,58,75,13.87
mandalgovi,mn,45.76,106.27,29.98,81,0,10.87
turukhansk,ru,65.8,87.96,0.91,51,0,10.98
henniker,us,43.18,-71.82,41.83,52,75,13.87
oxford,us,33.61,-85.83,43.02,58,1,4.7
saint-francois,gp,16.25,-61.27,80.6,69,75,10.29
tubuala,pa,9.52,-79.03,82.74,65,20,2.24
qaanaaq,gl,77.48,-69.36,-19.25,100,24,4.27
tarki,ru,42.95,47.5,50,71,20,11.18
takoradi,gh,4.89,-1.75,79.03,100,76,5.73
skeldon,gy,5.88,-57.13,82.45,88,88,13
bowen,au,-20.01,148.25,75.24,94,80,4.7
kozhva,ru,65.11,57.05,21.88,88,56,9.42
abu dhabi,ae,24.47,54.37,87.87,48,0,13.87
sabang,id,1.17,120.82,81.1,100,36,2.59
develi,tr,38.39,35.49,45.63,85,75,17.22
clyde river,ca,70.47,-68.59,-25.61,82,75,3.36
college,us,64.86,-147.8,33.91,43,1,10.29
east london,za,-33.02,27.91,82.4,74,0,16.11
pimentel,pe,-6.84,-79.94,66.2,29,20,4.7
pisco,pe,-13.71,-76.2,71.6,30,0,1.12
barraute,ca,48.43,-77.63,12.2,85,90,6.93
axim,gh,4.87,-2.24,78.58,100,56,0.69
nisia floresta,br,-6.09,-35.21,85.05,66,40,13.87
saint-prosper,ca,46.21,-70.48,33.69,92,88,13
mahina,pf,-17.51,-149.49,80.28,78,40,8.05
ilulissat,gl,69.22,-51.1,5,65,75,8.05
kodiak,us,39.95,-94.76,29.46,86,1,5.61
aripuana,br,-9.17,-60.63,90.19,66,12,3.04
tazovskiy,ru,67.47,78.7,-6.65,59,0,8.41
zatoka,ua,49.85,23.68,45.91,76,75,20.13
malumfashi,ng,11.79,7.62,96.4,17,0,15.68
lang son,vn,21.83,106.73,63.37,97,92,2.93
ahipara,nz,-35.17,173.16,62.01,100,80,3.71
almaznyy,ru,48.03,40.04,46.4,75,20,4.47
pinega,ru,64.7,43.39,32.95,81,48,7.63
araouane,ml,18.9,-3.53,95.77,19,0,4.16
amalapuram,in,16.58,82,86,51,0,8.05
pulivendla,in,14.42,78.23,84.25,31,0,11.65
altay,cn,47.83,88.13,21.25,90,92,2.15
bonfim,br,-20.33,-44.24,79.72,69,40,9.17
hobart,au,-42.88,147.33,53.24,76,0,5.82
marystown,ca,47.17,-55.16,39,100,92,30.78
seda,lv,57.65,25.75,39,95,92,1.01
haines junction,ca,60.75,-137.51,28,79,92,4.38
loukhi,ru,66.08,33.04,36.1,83,88,5.73
nome,us,30.04,-94.42,50.04,57,40,4.7
sao filipe,cv,14.9,-24.5,75.7,80,0,13.89
istok,ru,64.42,40.6,35.6,80,75,8.95
ponnani,in,10.77,75.93,86,66,0,9.17
tahta,eg,26.77,31.5,68.77,30,0,14.12
gra liyia,gr,35.02,25.68,61.9,55,40,18.34
san felipe,mx,31.02,-114.84,59,32,0,5.01
ikast,dk,56.14,9.15,42.87,75,92,9.17
grand forks,ca,49.03,-118.46,26.67,89,12,2.15
san cristobal,ec,-1.02,-79.44,65.89,98,64,1.14
high rock,bs,26.63,-78.28,73.4,78,40,2.24
ruteng,id,-8.61,120.46,70.39,100,92,1.48
boa vista,br,2.82,-60.67,86,55,75,18.34
caraquet,ca,47.79,-64.94,40.05,93,90,3.36
bilibino,ru,68.06,166.44,-26.09,38,20,2.26
glace bay,ca,46.2,-59.96,43.81,100,90,23.04
cabo san lucas,mx,22.89,-109.91,60.42,87,40,6.17
ballina,ie,54.11,-9.15,41.97,93,75,14.99
upernavik,gl,72.79,-56.15,-11.06,100,12,10.2
torbay,ca,47.66,-52.73,40.91,75,90,20.8
bima,id,-8.45,118.73,73,100,80,2.48
delemont,ch,47.36,7.34,59.45,54,0,17.22
coahuayana,mx,18.62,-100.35,72.37,46,32,2.71
ancud,cl,-41.87,-73.83,59,77,0,3.36
mweka,cd,-4.85,21.56,76.51,91,48,3.27
luderitz,na,-26.65,15.16,66.79,85,0,12.77
alta floresta,br,-9.87,-56.08,86.05,77,68,2.82
port moresby,pg,-9.47,147.16,77.32,100,92,19.71
lebu,cl,-37.62,-73.65,58.33,86,0,11.65
port lincoln,au,-34.72,135.86,64.81,94,0,10.98
quang ngai,vn,15.12,108.8,67.33,100,32,2.71
shelton,us,47.22,-123.1,38.98,86,1,3.15
tuatapere,nz,-46.13,167.69,61,73,8,11.01
kununurra,au,-15.77,128.74,82.4,74,68,6.93
mwingi,ke,-0.93,38.07,80.11,54,64,8.75
caravelas,br,-17.73,-39.27,83.35,100,24,13.33
byron bay,au,-28.65,153.62,69.53,100,90,5.28
wanparti,in,16.36,78.06,84.88,32,0,12.66
paita,pe,-5.09,-81.11,62.6,290,0,16.11
bethel,us,60.79,-161.76,23.45,92,90,11.41
berlevag,no,70.86,29.09,29.26,100,20,11.65
mattawa,ca,46.32,-78.7,17.01,85,75,16.11
butaritari,ki,3.07,172.79,82.54,100,80,8.19
rawson,ar,-43.3,-65.11,65.08,100,88,10.65
dalmatovo,ru,56.26,62.94,19,77,0,9.19
bonnyville,ca,54.27,-110.74,19.4,73,5,10.29
havoysund,no,71,24.66,26.6,92,75,28.86
maple creek,ca,49.91,-109.46,11.17,52,0,4.94
morondava,mg,-20.3,44.28,83.26,91,24,5.73
ilek,ru,51.53,53.38,28.36,89,88,11.65
makakilo city,us,21.35,-158.09,65.8,82,1,3.36
iracoubo,gf,5.48,-53.21,80.11,80,88,5.5
longyearbyen,sj,78.22,15.64,1.4,54,20,17.22
chokurdakh,ru,70.62,147.9,-10.79,72,76,3.71
aklavik,ca,68.22,-135.01,-0.26,83,5,2.37
qianan,cn,44.99,124.06,19.81,65,0,2.59
akhmim,eg,26.56,31.74,68.41,31,0,13
tome,cl,-36.62,-72.95,57.2,87,40,3.36
alice springs,au,-23.7,133.88,78.8,19,56,6.93
sao jose da coroa grande,br,-8.9,-35.15,85.6,72,0,7.4
rio gallegos,ar,-51.62,-69.22,53.6,87,75,4.7
sovetskaya gavan,ru,48.97,140.29,20.08,78,0,6.06
talnakh,ru,69.49,88.39,-12.41,39,0,2.59
kailua,us,21.39,-157.74,65.44,91,1,2.37
trabzon,tr,41.01,39.72,46.17,100,90,8.05
leningradskiy,ru,69.38,178.42,-4.85,81,80,12.21
cam ranh,vn,11.92,109.15,82.4,74,20,11.41
daragutan,ph,17,122.03,70.75,97,88,3.15
sohag,eg,26.55,31.7,68.41,31,0,13
hamilton,bm,32.3,-64.78,66.38,77,75,6.93
gushikawa,jp,26.35,127.87,62.64,55,75,5.82
kutum,sd,14.2,24.66,82.45,15,0,13.67
okhotsk,ru,59.36,143.24,8.2,100,48,5.06
nyurba,ru,63.29,118.35,18.28,78,80,6.51
rocha,uy,-34.48,-54.34,77.77,69,44,11.32
komsomolskiy,ru,67.55,63.78,3.7,62,8,11.43
wanaka,nz,-44.7,169.14,38.62,96,8,1.81
calbuco,cl,-41.77,-73.13,48.2,100,75,1.12
fort saint james,ca,54.43,-124.25,22.6,78,76,2.37
praia da vitoria,pt,38.73,-27.07,65.25,64,20,12.44
gisborne,nz,-38.66,178.02,69.01,99,56,1.99
iqaluit,ca,63.75,-68.52,6.39,65,90,17.22
marawi,sd,18.48,31.82,84.88,10,0,14.9
bambanglipuro,id,-7.95,110.28,73.18,99,100,3.6
hobyo,so,5.35,48.53,80.83,79,48,14.23
barranca,pe,-10.75,-77.76,72.91,97,8,9.42
mount isa,au,-20.73,139.49,73.4,27,36,8.05
abnub,eg,27.27,31.15,68.77,30,0,14.12
mandan,us,46.83,-100.89,23.2,92,90,9.42
kiruna,se,67.86,20.23,28.4,58,8,2.71
hami,cn,42.84,93.51,39.97,61,0,4.05
hofn,is,64.25,-15.21,37.63,100,68,27.09
gamboma,cg,-1.87,15.88,83.35,88,20,5.73
soe,id,-9.86,124.28,69.4,96,88,1.92
quesnel,ca,52.98,-122.49,20.75,92,90,3.36
shiyan,cn,32.65,110.78,52,55,32,1.99
davenda,ru,53.56,119.32,20.44,70,20,4.72
inhambane,mz,-23.87,35.38,75.2,94,75,9.17
richards bay,za,-28.77,32.06,83.17,59,44,11.1
kumluca,tr,36.37,30.29,46.72,35,0,1.81
baraboo,us,43.47,-89.74,26.83,73,1,9.17
lady frere,za,-31.7,27.23,70.39,75,24,3.6
biak,id,-0.91,122.88,79.21,94,20,4.72
baiyin,cn,36.55,104.13,41,18,0,4.47
iwaki,jp,37.05,140.89,37.36,52,0,1.01
lompoc,us,34.64,-120.46,45.63,65,1,11.41
kanye,bw,-24.98,25.34,85.15,39,0,4.27
tual,id,-5.67,132.75,84.97,95,36,10.2
port elizabeth,za,-33.92,25.57,78.8,74,0,20.8
namibe,ao,-15.19,12.15,80.74,93,0,10.76
diu,in,20.71,70.98,76.24,37,0,5.95
pavlodar,kz,52.28,76.96,28.4,74,40,15.66
nanortalik,gl,60.14,-45.24,28.54,98,92,12.77
padang,id,-0.92,100.36,80.6,94,20,3.36
kruisfontein,za,-34,24.73,74.53,73,0,16.02
zasosna,ru,50.63,38.4,35.56,96,68,5.73
soure,br,-0.72,-48.52,81.91,87,88,7.52
piacabucu,br,-10.41,-36.43,86.95,63,20,8.97
kayerkan,ru,69.35,87.76,-13.13,40,0,2.82
melfort,ca,52.87,-104.61,21.2,92,20,13.87
mareeba,au,-16.99,145.42,77.38,78,40,4.7
mount gambier,au,-37.83,140.78,57.2,100,90,3.36
nizhneudinsk,ru,54.91,99.03,30.7,76,12,2.15
tahe,cn,52.34,124.71,16.39,72,0,4.61
victoria,sc,-4.62,55.45,86,74,75,10.29
shimoda,jp,34.7,138.93,45.39,55,92,3
inirida,co,3.87,-67.92,83.17,75,64,3.94
rovaniemi,fi,66.5,25.72,30.2,92,75,4.7
christchurch,nz,-43.53,172.64,54.12,87,56,5.82
gouyave,gd,12.16,-61.73,84.2,70,75,17.22
athabasca,ca,54.72,-113.29,13.42,54,0,3.6
zhuanghe,cn,39.7,122.97,37,77,0,5.17
yatou,cn,33.81,104.32,34.21,51,80,1.7
zaysan,kz,47.47,84.87,39.07,76,24,4.61
dingle,ie,52.14,-10.27,46.4,87,90,9.17
kasongo-lunda,cd,-6.48,16.82,83.53,82,20,1.36
sur,om,22.57,59.53,73,90,0,14.56
sampit,id,-2.54,112.95,77.59,88,56,3.83
korla,cn,41.76,86.15,32,86,0,2.15
alvorada,br,-30,-51.08,80.89,69,0,10.29
bom jesus do galho,br,-19.83,-42.32,81.37,79,68,4.38
talas,tr,38.69,35.55,45.64,85,75,17.22
yar-sale,ru,66.83,70.83,-3.32,63,12,7.07
jalu,ly,29.03,21.55,70.48,39,0,6.96
kotovo,ru,50.32,44.8,33.67,94,92,8.08
ponta do sol,cv,17.2,-25.09,78.8,57,75,23.04
trelew,ar,-43.25,-65.31,65.08,100,88,10.65
bacsay,ph,15.65,120.33,80.6,61,75,4.7
champerico,gt,14.3,-91.92,73.4,94,40,2.37
grindavik,is,63.84,-22.43,37.4,100,40,4.7
pitimbu,br,-7.47,-34.81,86,62,75,10.29
khuzhir,ru,53.19,107.35,26.92,71,0,2.82
wencheng,cn,27.79,120.09,50.23,69,80,1.92
alexandria,eg,31.2,29.89,61.12,77,68,23.96
urucui,br,-7.23,-44.56,75.25,100,88,6.06
kalmunai,lk,7.42,81.82,78.67,90,80,3.94
hualmay,pe,-11.1,-77.61,75.7,81,12,5.61
huilong,cn,31.15,106.5,51.85,80,92,2.71
najran,sa,17.54,44.22,91.4,21,20,11.41
gopalpur,in,25.6,86.94,76.06,35,0,12.66
dauriya,ru,49.93,116.85,17.2,58,0,8.63
tura,ru,64.27,100.22,10.27,64,0,4.38
galveston,us,40.58,-86.19,30.92,86,1,11.41
high level,ca,58.52,-117.13,12.2,78,5,2.59
ahuimanu,us,21.44,-157.84,65.82,91,1,2.37
siniscola,it,40.57,9.69,68,49,0,21.92
muriti,tz,-1.99,32.93,79.75,94,44,7.96
griffith,au,-34.29,146.06,71.38,49,32,9.17
havre-saint-pierre,ca,50.23,-63.6,35.6,93,90,8.05
pevek,ru,69.7,170.27,-23.12,67,8,7.29
deputatskiy,ru,69.3,139.9,-31.94,0,0,2.71
teya,ru,60.37,92.63,30.43,88,92,1.36
qujing,cn,25.49,103.8,61.57,52,88,11.65
manado,id,1.49,124.85,75.2,94,20,2.24
ust-tsilma,ru,65.44,52.15,29.98,80,88,6.62
paamiut,gl,61.99,-49.67,28.36,99,80,20.94
russell,nz,-35.26,174.12,62.01,94,80,3.71
santa rosa,bo,-20.7,-64.83,56.8,98,80,1.81
flic en flac,mu,-20.27,57.36,84.96,70,40,8.05
alto araguaia,br,-17.32,-53.22,85.06,72,64,4.38
dudinka,ru,69.41,86.18,-15.02,45,0,3.6
ishigaki,jp,24.34,124.16,70.75,100,12,13.44
amapa,br,-1.83,-56.23,83.71,80,64,3.27
katherine,au,-14.47,132.26,80.6,78,88,1.12
kaeo,nz,-35.1,173.78,62.01,94,80,3.71
otjimbingwe,na,-22.35,16.13,93.7,20,20,8.86
santa fe,us,35.69,-105.94,24.84,79,1,8.05
chapadinha,br,-3.74,-43.35,85.87,86,24,5.84
yuci,cn,37.68,112.73,53.6,12,0,6.71
auch,fr,43.65,0.59,65.41,59,0,8.05
bathsheba,bb,13.22,-59.52,82.4,65,75,20.8
lagos,pt,37.1,-8.67,68.41,42,0,12.75
namatanai,pg,-3.66,152.44,79.84,100,88,9.98
sorland,no,67.67,12.69,35.6,64,75,3.36
el estor,gt,15.53,-89.34,74.53,90,56,2.93
kodinsk,ru,58.6,99.18,24.94,82,12,1.36
sistranda,no,63.73,8.83,40.98,56,40,2.24
miandrivazo,mg,-19.53,45.46,81.28,73,24,5.39
kavieng,pg,-2.57,150.8,82,100,80,6.85
anito,ph,12.45,125.29,80.65,94,64,18.92
husavik,is,66.04,-17.34,35.6,59,40,3.36
kartaly,ru,53.05,60.64,17.2,77,0,0.81
rosarito,mx,27.04,-109.91,50,87,40,5.82
tezu,in,27.93,96.16,52.03,98,80,1.48
la baule-escoublac,fr,47.28,-2.4,52.65,76,90,20.8
samarai,pg,-10.62,150.67,76.69,100,92,7.18
pacific grove,us,36.62,-121.92,42.44,65,1,4.16
reconquista,ar,-29.14,-59.64,76.6,77,92,7.18
morant bay,jm,17.88,-76.41,80.6,54,20,1.12
nemuro,jp,43.32,145.57,33.31,93,92,8.97
adrar,dz,27.87,-0.29,78.8,12,0,10.29
ponferrada,es,42.55,-6.59,68.79,48,0,4.83
quatre cocos,mu,-20.21,57.76,84.96,70,40,8.05
nuevo progreso,mx,17.14,-95.05,67.15,97,100,13.11
coolum beach,au,-26.53,153.09,70.68,99,68,2.48
jinchang,cn,38.52,102.19,16.57,48,32,4.16
iquitos,pe,-3.75,-73.25,42.8,319,75,3.36
craig,us,40.52,-107.55,5.38,77,1,2.37
shar,kz,49.59,81.05,12.34,71,0,3.15
san juan,cr,9.96,-84.08,69.87,77,20,16.11
hachinohe,jp,40.47,141.48,33.01,77,12,5.01
port hardy,ca,50.7,-127.42,46.4,81,90,20.8
verkhoyansk,ru,67.55,133.39,-28.61,0,0,0.13
amudat,ug,1.95,34.95,82.18,33,0,13
sao joao da barra,br,-21.64,-41.05,86,70,75,4.7
nouadhibou,mr,20.93,-17.03,89.6,13,0,8.05
taree,au,-31.91,152.46,65.71,88,90,4.7
norman wells,ca,65.28,-126.83,-4.01,83,5,4.7
dullewala,pk,31.84,71.44,68.5,36,80,3.6
ilebo,cd,-4.33,20.59,73.18,98,88,3.15
bonavista,ca,48.65,-53.11,37,88,92,8.01
atambua,id,-9.11,124.89,75.79,100,88,4.72
erzin,ru,50.26,95.16,13.51,63,0,2.37
bushehr,ir,28.97,50.84,74.43,56,0,4.7
hare bay,ca,48.86,-53.99,39.42,93,90,16.11
tilichiki,ru,60.47,166.1,-22.85,33,32,2.59
bambous virieux,mu,-20.34,57.76,84.88,70,40,8.05
roald,no,62.58,6.12,38.79,55,0,19.46
matagami,ca,49.76,-77.63,6.8,84,90,17.22
senador jose porfirio,br,-2.59,-51.95,85.6,74,0,4.38
ketchikan,us,55.34,-131.65,44.02,81,90,14.99
alora,es,36.82,-4.71,71.55,23,0,8.05
patea,nz,-39.76,174.48,60.01,99,48,3.27
north platte,us,41.12,-100.77,23.81,92,1,4.7
nabire,id,-3.36,135.5,69.76,90,20,1.25
kindu,cd,-2.95,25.92,78.76,80,24,5.39
kirakira,sb,-10.46,161.92,83.8,100,12,5.28
valdosta,us,30.83,-83.28,55.04,62,1,12.75
ukiah,us,39.15,-123.21,40.01,86,1,2.71
zihuatanejo,mx,17.64,-101.55,69.8,83,40,3.71
balashov,ru,51.54,43.17,33.01,93,92,3
tautira,pf,-17.73,-149.15,80.28,78,40,8.05
goundam,ml,16.42,-3.66,99.28,21,0,5.5
yumen,cn,40.29,97.04,39.25,51,56,12.44
killybegs,ie,54.63,-8.45,42.51,87,75,18.34
general roca,ar,-39.03,-67.58,59,72,75,2.24
chicama,pe,-7.84,-79.15,69.8,88,75,8.05
chor,pk,25.52,69.77,73.63,34,0,8.63
narsaq,gl,60.91,-46.05,21.2,48,75,3.36
aquiles serdan,mx,23.94,-104.58,48.65,52,90,4.7
sovetskiy,ru,56.76,48.47,24.85,91,80,11.88
isangel,vu,-19.55,169.27,80.65,100,64,14.9
praya,id,-8.71,116.27,73.4,94,75,1.12
walvis bay,na,-22.95,14.51,64.99,86,0,8.01
kupang,id,-10.16,123.6,77,94,75,5.61
denpasar,id,-8.65,115.22,75.2,100,75,4.7
san carlos,bo,-17.4,-63.73,80.6,83,75,12.75
maragogi,br,-9.01,-35.22,85.6,72,0,7.4
darhan,mn,49.49,105.92,30.25,51,0,3.83
zhumadian,cn,33.01,114.02,52.21,58,44,7.29
penzance,gb,50.12,-5.53,51.94,87,75,29.97
corinto,ni,12.48,-87.17,77,65,0,10.2
guerrero negro,mx,27.97,-114.04,48.79,67,0,3.38
araguaina,br,-7.19,-48.21,89.65,69,0,7.52
zhangye,cn,38.94,100.46,33.04,68,80,3.15
aldan,ru,58.61,125.39,15.31,84,80,2.37
tarko-sale,ru,64.92,77.78,6.01,76,80,5.01
saint-pierre,pm,46.77,-56.17,37.17,100,90,26.4
lodwar,ke,3.12,35.6,91.18,29,0,12.88
yuncheng,cn,35.03,111,38.26,75,8,2.37
cockburn town,tc,21.46,-71.14,77.59,98,8,19.26
fortuna,us,40.6,-124.16,39.11,93,40,4.83
noumea,nc,-22.28,166.46,77,83,0,8.52
touros,br,-5.2,-35.46,84.2,74,40,10.29
salta,ar,-24.79,-65.41,68,82,90,3.49
flinders,au,-34.58,150.85,67.64,82,75,5.82
ust-ishim,ru,57.69,71.17,21.43,73,76,9.75
hohhot,cn,40.81,111.65,39.2,32,0,8.95
redmond,us,47.67,-122.12,39.42,81,1,3.83
sitka,us,37.17,-99.65,37.9,51,12,7.63
chernolesskoye,ru,44.72,43.71,50.5,70,88,3.49
muli,mv,2.92,73.57,82.27,100,32,6.17
nokaneng,bw,-19.66,22.19,92.62,27,0,10.2
srednekolymsk,ru,67.46,153.71,-16.73,48,48,2.37
russellville,us,35.28,-93.13,35.13,92,1,3.38
solnechnyy,ru,50.72,136.64,18.46,68,0,4.27
florence,us,34.2,-79.77,51.42,46,75,14.99
shu,kz,43.6,73.76,58.78,39,0,13.89
collie,au,-33.36,116.15,64,76,0,5.01
puerto palomas,mx,31.77,-107.62,39.2,41,90,9.17
mahibadhoo,mv,3.78,72.97,83.71,100,76,9.42
diffa,ne,13.32,12.61,98.83,14,12,15.46
biltine,td,14.53,20.93,94.6,15,56,12.44
